Community,Nodes,Set 0 (late),Set 1 (early),g_norm,g_raw,g_conf,Mean Degree,Mean Local g_norm
Community 0,4275,2688,1587,1.6051545420519846,0.0008801124937723086,0.0005483038989175443,11.68327485380117,1.6051545420519846
Community 1,4218,2292,1926,1.2747995002933732,0.000896746615551603,0.0007034412982945414,22.84850640113798,1.274799500293373
Community 2,4037,2903,1134,2.5140244174127857,0.0025504346906326694,0.0010144828637970644,35.71265791429279,2.5140244174127857
