Community,Nodes,Set 0 (late),Set 1 (early),g_norm,g_raw,g_conf,Mean Degree,Mean Local g_norm
Community 0,2303,1574,729,3.2645134953492154,0.006734764495735083,0.002063022409106213,51.26009552757273,3.2645134953492154
Community 1,752,457,295,3.3568044822458,0.024587737733972808,0.00732474526413969,30.22872340425532,3.3568044822458005
Community 2,515,328,187,4.270283066051317,0.08796873662808694,0.020600212039205784,30.714563106796117,4.270283066051318
